,0
10188,
10189,droid  hands up jedi dont move
10190,
10191,droid  roger roger
10192,
10193, int main hangartrade federation cruiser
10194,
10195,the two super battle droids overhear obiwans comlink messages to artoo
10196,
10197,super battle droid  there it is again
10198,
10199,obiwan os artoo do you copy artoo do you hear me artoo we need to be going up not down
10200,
10201, int elevatortrade federation cruiser
10202,
10203,the elevator races down as obiwan holds on
10204,
10205,obiwan stop artoo we need to go up stop stop
10206,
10207,the elevator stops with a jolt obiwan falls to the floor
10208,
10209, int main hangartrade federation cruiser
10210,
10211,the two super battle droids see artoo and walk toward the little droid
10212,
10213,super battle droid  hey you
10214,
10215,artoo plugs into the interface again and the elevator shoots up
10216,
10217, int elevatortrade federation cruiser
10218,
10219,obiwan stands up after having fallen in the elevator
10220,
10221,obiwan now thats better   
10222,
10223, int main hangartrade federation cruiser
10224,
10225,artoo is held up by two super battle droids who chuckle as the little astro droid curses and swings at them
10226,
10227,super battle droid  you stupid little astro droid
10228,
10229, int elevator shafttrade federation cruiser
10230,
10231,anakin looks down and sees the elevator heading toward him at a high rate of speed he looks at the battle droids leaning over him with their guns pointed at him he calculates for a moment then gives himself a push and flips himself up into the elevator shaft
10232,
10233,before anakin can arc into a descent down the shaft the elevator races up through the shaft cutting the droids in two anakin lands on the elevator and quickly drops back through the hole in the ceiling obiwan is startled and ignites his lightsaber
10234,
10235,obiwan oh its you   
10236,
10237, int main hangartrade federation cruiser
10238,
10239,artoo activates his oil hose and sprays the super battle droids the super battle droids slip on the oil
10240,
10241, int elevator shafttrade federation cruiser
10242,
10243,anakin what was that all about
10244,
10245,obiwan well artoo has been   
10246,
10247,anakin no loose wire jokes    hes doing the best he can
10248,
10249,obiwan did i say anything
10250,
10251,anakin hes trying
10252,
10253,obiwan i didnt say anything
10254,
10255, int main hangartrade federation cruiser
10256,
10257,artoo ignites his arm rockets and shoots out of their grip spraying them both with oil and setting them on fire the super battle droids slip and slide until they fall smoldering artoo rolls away
10258,
10259, int generals quarterstrade federation cruiser
10260,
10261,the elevator door opens and the two jedi carefully make their way into the main room of the generals quarters
10262,at the far end sits supreme chancellor palpatine anakin and obiwan move toward the chancellor
10263,as they get closer to palpatine they see a very distressed look on the chancellors face
10264,
10265,obiwan bows chancellor
10266,
10267,anakin are you all right
10268,
10269,palpatine quietly count dooku
10270,
10271,palpatine makes a small gesture with his hand obiwan and anakin turn around the elevator doors can be heard opening and closing as count dooku strides into the room he is above the jedi standing on a balcony with two super battle droids the jedi turn to see him he looks down on the jedi
10272,
10273,obiwan quietly to anakin this time we will do it together
10274,
10275,anakin i was about to say that
10276,
10277,count dooku jumps down to the main level
10278,
10279,palpatine get help youre no match for him hes a sith lord
10280,
10281,obiwan chancellor palpatine sith lords are our specialty
10282,
10283,obiwan and anakin throw off their cloaks and ignite their lightsabers
10284,
10285,count dooku your swords please master jedi we dont want to make a mess of things in front of the chancellor
10286,
10287,obiwan and anakin move toward dooku
10288,
10289,obiwan you wont get away this time dooku
10290,
10291,obiwan and anakin charge count dooku a great sword fight ensues
10292,
10293,count dooku ive been looking forward to this
10294,
10295,anakin my powers have doubled since the last time we met count
10296,
10297,count dooku good twice the pride double the fall
10298,
10299,dooku lunges at the jedi and they fall back   
10300,
10301,count dooku continuing your moves are clumsy kenobi    too predictable youll have to do better
10302,
10303,as the battle proceeds obiwan and count dooku are tired anakin is stronger as he becomes angry anakin continues to drive the attack on dooku count dooku throws obiwan back using the force
10304,anakin and count dooku move up the stairs as they reach the upper landing of the generals quarters anakin leaps over count dooku obiwan reaches the top of the stairs destroying two super battle droids count dooku holds obiwan in the air using the force as he turns and kicks anakin out of frame obiwan is choking
10305,anakin hits the archway
10306,dooku sends obiwan flying the jedi tumbles to the lower level unconscious count dooku spins around again and using the force causes a section of the balcony to drop onto obiwan anakin spins and kicks count dooku sending him over the balcony anakin jumps following him down to the main floor count dooku and anakin continue the fight
10307,
10308,count dooku continuing i sense great fear in you skywalker you have hate you have anger but you don�t use them
10309,
10310,anakin regains his composure and attacks count dooku as the dark lord continues his spin to meet him head on their fighting becomes even more intense
10311,anakin attacks count dooku with a new ferociousness
10312,
10313, int generals quarterstrade federation cruiser
10314,
10315,anakin and dooku continue their fight it is intense finally in one last energized charge anakin cuts off count dookus hands the jedi catches the lightsaber as it drops from the severed sith lords hand count dooku stumbles to the floor as anakin puts the two lightsabers to his neck palpatine is grinning as he watches count dookus defeat
10316,
10317,palpatine good anakin good i knew you could do it kill him kill him now
10318,
10319,anakin i shouldnt   
10320,
10321,palpatine do it
10322,
10323,anakin cuts off count dookus head a huge explosion somewhere deep in the ship rattles everything
10324,
10325,anakin  i couldnt stop myself
10326,
10327,palpatine you did well anakin he was too dangerous to be kept alive
10328,
10329,anakin drops count dookus lightsaber moving to palpatine
10330,
10331,anakin yes but he was an unarmed prisoner
10332,
10333,anakin raises his hands toward palpatine who is strapped in the admirals chair the chancellors restraints pop loose
10334,
10335,anakin continuing i shouldnt have done that chancellor its not the jedi way
10336,
10337,palpatine stands up rubbing his wrists
10338,
10339,palpatine it is only natural he cut off your arm and you wanted revenge it wasnt the first time anakin remember what you told me about your mother and the sand people now we must leave before more security droids arrive
10340,
10341,the ship begins to list to one side anakin rushes over to obiwan lifts the control console from on top of him and pulls him free he kneels down and checks out his unconscious friend palpatine heads for the elevators
10342,
10343,palpatine continuing anakin there is no time we must get off the ship before its too late
10344,
10345,anakin he seems to be all right no broken bones breathings all right
10346,
10347,palpatine leave him or well never make it
10348,
10349,anakin his fate will be the same as ours
10350,
10351,anakin picks up obiwan slings him over his shoulder and heads for the elevators
10352,
10353, int bridgetrade federation cruiser
10354,
10355,general grievous prepare for attack
10356,
10357,pilot all batteries fire fire
10358,
10359, int battlestationsrepublic cruiser
10360,
10361,clone gunners fire on the trade federation cruiser and take fire in return gun emplacements are destroyed clone troopers go flying
10362,
10363, int elevator lobbygenerals quarterstrade federation cruiser
10364,
10365,anakin carries obiwan to the elevator doors and hits the button palpatine joins him
10366,
10367,anakin the elevators not working into his comlink artoo   
10368,
10369,artoo beeps a response to anakin
10370,
10371,anakin continuing    activate elevator 
10372,
10373,suddenly the ship shifts to its side as the elevator doors open palpatine is thrown to the ground anakin jumps to the door frame of the elevator anakin looks into the elevator shaft
10374,
10375,anakin continuing artoo  do you copy artoo come in
10376,
10377, int bridgetrade federation cruiser
10378,
10379,windows are blown out droids and equipment are sucked into space
10380,
10381,pilot reverse stabilizers
10382,
10383, int main hangartrade federation cruiser
10384,
10385,as the ship rolls spacecraft and equipment crash from one side of the ship to the other
10386,several objects break through the metal blast doors causing objects to be sucked into space artoo starts to slide toward one of the small holes
10387,
10388, int elevator lobbygenerals quarterstrade federation cruiser
10389,
10390,as the elevator shaft rotates it has become a long hallway
10391,anakin clings to the doorframe with obiwan on his shoulder as the chancellor struggles to join him
10392,
10393, int main hangartrade federation cruiser
10394,
10395,artoo continues to skid and slide toward open space he swerves around boxes and wrecked fighters one of the battle droids stumbles and is consumed by the electronic shield in a zap artoo beeps a reply as he dodges the laser blasts of the battle droids one bolt hits very near him and he screams in terror
10396,
10397, int bridgetrade federation cruiser
10398,
10399,pilot magnetize magnetize
10400,
10401, int main hangartrade federation cruiser
10402,
10403,artoo is about to be overtaken by a starfighter sliding behind him he falls into a heap of broken battle droid parts and the fighter bounces over him
10404,
10405, ext spacecoruscant
10406,
10407,the trade federation cruiser heads straight down toward the planet
10408,
10409, int elevator lobbygenerals quarterstrade federation cruiser
10410,
10411,anakin jumps into the horizontal elevator shaft with obiwan still on his shoulder
10412,
10413,anakin we cant wait come on we have to be fast
10414,
10415,palpatine climbs into the elevator shaft also they start running the ship begins to roll again and the jedi and the chancellor are forced to jump from one side of the elevator to the other
10416,
10417, int bridgetrade federation cruiser
10418,
10419,general grievous fire the emergency booster engines
10420,
10421,pilot leveling out sir
10422,
10423, int elevator shaft on sidetrade federation cruiser
10424,
10425,anakin still carrying obiwan on his back and palpatine run down the elevator shaft as it starts to move upright anakin cuts a control box on one of the doors but before the doors can open the ship moves to an angle causing anakin and palpatine to start sliding down the shaft anakin grabs some wires in the control box with one hand palpatine grabs onto the jedis leg as the ship rights itself they are left hanging in the bottomless elevator shaft
10426,
10427, int elevator shaft verticaltrade federation cruiser
10428,
10429,anakin obiwan and palpatine hang precariously on the side of the bottomless elevator shaft obiwan regains consciousness and tries to look around
10430,
10431,anakin easy    were in a bit of a situation
10432,
10433,obiwan did i miss something
10434,
10435,obiwan looks down and sees palpatine and the bottomless pit they hear artoo beeping on obiwans comlink the ship begins to roll causing the vertical shaft to move into a fortyfivedegree angle they hear the elevator brakes release and look up to see the elevator heading toward them
10436,
10437,anakinn hold on
10438,
10439,obiwan what is that
10440,
10441,obiwan and anakin look up to watch the elevator approach them at high speed then obiwan turns to anakin
10442,
10443,obiwan continuing oops
10444,
10445,anakin artoo artoo shut down the elevator
10446,
10447,obiwan too late jump
10448,
10449,they fall about three hundred feet before the tilt of the ship catches up with them and they hit the side of the shaft and slide at great speed just ahead of the elevator the shaft continues to rotate until it is completely horizontal
10450,anakin and obiwan take out and throw grappling hooks the hooks catch and they continue to fall all the doors in the elevator shaft open up and the group swings through the open door into a hallway the elevator roars by
10451,
10452, int elevator lobbytrade federation cruiser
10453,
10454,anakin obiwan and palpatine fly through the elevator door and land
10455,
10456,obiwan lets see if we can find something in the hangar bay thats still flyable come on
10457,
10458,anakin artoo get down here artoo do you copy
10459,
10460, int main hangartrade federation cruiser
10461,
10462,as the federation cruiser continues to rotate artoo squeals and pokes a periscope out of a pile of broken battle droid parts he looks around then rockets up out of the debris
10463,
10464, int hallway to hangar baytrade federation cruiser
10465,
10466,obiwan and anakin lead palpatine down a hallway toward the hangar bay
10467,
10468, int doorway to hangar baytrade federation cruiser
10469,
10470,it is extremely windy as bits and pieces are continually sucked into space the hangar bay doors are closed but great stresses are being exerted as the ship twists reentering the atmosphere of coruscant they stop in a doorway leading into the hangar bay
10471,
10472,obiwan none of those ships will get us anywhere
10473,
10474,anakin i agree
10475,
10476,palpatine what are we going to do
10477,
10478,anakin i dont know
10479,
10480,obiwan dont look at me i dont know
10481,
10482,anakin and palpatine both look to obiwan he shrugs his shoulders anakins fighter has been sucked out of the hangar bay and is totaled suddenly the ship turns on its side
10483,
10484,anakin here chancellor lock this around your waist and hold on
10485,
10486,obiwan well head toward the bridge and see if we can find an escape pod
10487,
10488,anakin hands palpatine the end of a cable that is attached to his utility belt palpatine attaches it around his waist anakin and obiwan throw their utility cables to some pipes in the ceiling and swing to a second set of pipes
10489,
10490, int main hangartrade federation cruiser
10491,
10492,obiwan grabs onto the pipes that run along what was the ceiling and is now the wall as he moves out into the hangar two super battle droids start firing at him the jedi ignites his lightsaber and deflects the bolts back at the droids blowing them up anakin and palpatine follow obiwan along the pipes running along the ceiling of the hangar palpatine struggles against the escaping air of the pressurized hangar palpatine loses his grip as a pipe breaks causing a rush of steam but anakin manages to maintain his grasp on the pipe as the chancellor dangles on the other end of the utility cable they are surrounded by sparks and explosions as the ship twists and tries to break apart anakin moves out of the steam and struggles to pull palpatine back to safety anakin is almost pulled loose in the buffeting winds the ceiling behind them buckles causing pipes to break creating geysers of steam some bits of pipe go hurling into the blast doors and out into space they make it through a hangar doorway and close it behind them
10493,
10494, int hangar doorwaytrade federation cruiser
10495,
10496,obiwan anakin and palpatine are out of breath
10497,
10498,anakinobiwan well that was close
10499,
10500,they laugh
10501,
10502, int bridgetrade federation cruiser
10503,
10504,bodyguard general we found the jedi theyre in hallway 
10505,
10506,general grievous activate ray shields
10507,
10508, int hallwaytrade federation cruiser
10509,
10510,they run down the hallway suddenly ray shields drop around them putting them in an electronic box in the middle of the hallway
10511,
10512,anakin ray shields
10513,
10514,obiwan takes a deep breath to express his total disappointment
10515,
10516,obiwan wait a minute howd this happen were smarter than this
10517,
10518,anakin apparently not master this is the oldest trap in the book    well  i was distracted
10519,
10520,obiwan oh so all of a sudden its my fault
10521,
10522,anakin youre the master im just a hero
10523,
10524,obiwan im open to suggestions here
10525,
10526,palpatine why dont we let them take us to general grievous perhaps with count dookus demise we can negotiate our release
10527,
10528,the jedi look at each other in disbelief
10529,
10530,anakin i say    patience
10531,
10532,obiwan patience thats your plan is it
10533,
10534,anakin yes artoo will be along in a few moments and hell release the ray shields   
10535,
10536,artoo comes skidding across the hallway and bashes into the opposite wall he takes a moment to compose himself
10537,
10538,anakin continuing see no problem
10539,
10540,suddenly several doorways open revealing two destroyer droids sixteen super battle droids emerge from behind the destroyer droids
10541,artoo turns and zaps one of the super battle droids who then kicks artoo over
10542,
10543,super battle droid dont move dummy ouch zap this
10544,
10545,obiwan do you have a plan b
10546,
10547, ext bridgetrade federation cruiser
10548,
10549,obiwan anakin palpatine and artoo are captured by general grievous they stand before the alien droid general
10550,
10551,general grievous oh yes general kenobi the negotiator weve been waiting for you that wasnt much of a rescue
10552,
10553,a battle droid walks to general grievous and hands him the jedis lightsabers
10554,
10555,obiwan that depends upon your point of view hah
10556,
10557,general grievous and anakin skywalker  i was expecting someone with your reputation to be a little older
10558,
10559,anakin general grievous    supreme commander of the droid armies youre shorter than i expected
10560,
10561,general grievous ahhhh jedi scum   
10562,
10563,obiwan anakin try not to upset him we have a job to do
10564,
10565,general grievous your lightsabers will make a fine addition to my collection
10566,
10567,obiwan not this time and this time you wont escape
10568,
10569,anakin artoo
10570,
10571,artoo creates a distraction by extending all his arms shooting out electrical pulses and bouncing around
10572,obiwan hands restrained with electrobonds spins around reaches out and using the force yanks his lightsaber out of the generals hand ignites it and cuts his bonds he continues to spin around and cuts anakin free
10573,
10574,general grievous crush them make them suffer
10575,
10576,anakin uses the force to yank his lightsaber out of the generals hand
10577,
10578,the droids that surround them begin to fire obiwan and anakin jump into the line of fire the bridge degenerates into chaos obiwan and anakin are locked in a pitched battle between electro staffs and laser swords with general grievouss two bodyguards
10579,
10580,chancellor palpatine is taken away by two battle droids general grievous walks around the bridge directing the battle droids
10581,
10582,general grievous stay and watch your stations
10583,
10584,obiwan fights one of general grievouss bodyguards the bodyguard carries an electrified staff about five feet long when the laser sword hits it electrical bolts fly everywhere and surround the laser sword obiwan is unable to cut the staff the jedi gets whacked pretty good a couple of times and is knocked halfway across the bridge
10585,obiwan pulls himself together and attacks again cutting off the droid bodyguards head the droid bodyguard keeps attacking anakin struggles to defend himself against the other manic droid bodyguard he cuts the droid bodyguard in half two battle droids try to take the chancellor away
10586,anakin follows them down the hallway and cuts them down rescuing the chancellor
10587,obiwan finishes off the headless bodyguard it crumbles to the floor in pieces
10588,alarms sound as the giant spacecraft begins to list and fall out of orbit a pilot yells at general grievous
10589,
10590,pilot sir we are falling out of orbit all aft control cells are dead
10591,
10592,general grievous stay on course    dont bother with them keep the ship in orbit
10593,
10594,obiwan and anakin destroy the remaining droids general grievous retrieves one of the bodyguards staffs and faces obiwan anakin leaps over a console and lands behind general grievous
10595,
10596,general grievous you lose general kenobi
10597,
10598,one of the pilots stands next to the general
10599,
10600,pilot the ship is breaking up
10601,
10602,general grievous weve run out of time
10603,
10604,obiwan tries to get at general grievous anakin runs at the general from the opposing side general grievous turns and throws his electrified staff at the window it breaks causing chaos as everything that is not nailed down is sucked into space general grievous is the first one sucked out into space he fires a cable from his arm that attaches to the ship he swings in and lands firmly on the side of the ship
10605,obiwan anakin and palpatine hold on for dear life a blast shield closes around where the window used to be
10606,
10607, int bridgetrade federation cruiser
10608,
10609,obiwan continues to fight the battle droids the droids have backed him into a corner obiwan hides behind a control panel as the droids blast away at him he jumps up and over the droids cutting most of them down before he lands he destroys the droids and joins anakin
10610,anakin and obiwan cut through the rest of the droids as if they were made of butter palpatine stands in shock as he watches the carnage droid parts are firing everywhere obiwan and anakin stand back to back and cut down the last of the droids just as there is a huge shudder followed by more alarms sparks begin to fly outside the windows
10611,
10612,palpatine the hull is burning up
10613,
10614, ext hulltrade federation cruiserspace
10615,
10616,general grievous detaches his cable and crawls along the exterior hull of the federation cruiser using his magnetized hands and feet he reaches a row of escape pods and enters an airlock
10617,
10618, int pod baytrade federation cruiserspace
10619,
10620,general grievous enters the escape pod bay through the hatch the droid general goes to a control panel and opens an escape pod
10621,
10622,general grievous time to abandon ship
10623,
10624,general grievous pulls a row of switches and one by one the escape pods are jettisoned
10625,
10626, int escape podspace
10627,
10628,he gets in one the hatch closes and the escape pod blasts away from the damaged cruiser
10629,
10630, int bridgetrade federation cruiser
10631,
10632,obiwan and anakin go over to the navigators chair
10633,
10634,anakin all the escape pods have been launched
10635,
10636,obiwan grievous can you fly a cruiser like this
10637,
10638,anakin you mean do i know how to land whats left of this thing
10639,
10640,anakin sits in the pilots chair and sees on a screen the back half of the ship break away there is a great jolt and the ship tilts forward
10641,
10642,obiwan well
10643,
10644,anakin under the circumstances id say the ability to pilot this thing is irrelevant strap yourselves in
10645,
10646,obiwan and palpatine strap themselves into chairs anakin struggles with the controls of the ship the ship starts to glow and pieces break off artoo moves in on palpatine s controls and assists in flying the cruiser
10647,
10648,obiwan steady    attitude    eighteen degrees
10649,
10650,artoo beeps
10651,
10652,anakin pressure rising weve got to slow this wreck down open all hatches extend all flaps and drag fins
10653,
10654,obiwan temp steady hatches open flaps extended drag fins   
10655,
10656,a large part of the ship breaks away
10657,
10658,anakin we lost something
10659,
10660,obiwan not to worry were still flying half the ship
10661,
10662,anakin now were really picking up speed    im going to shift a few degrees and see if i can slow us down
10663,
10664,obiwan careful    were heating uptwelve thousand    thirteen thousand   
10665,
10666,anakin whats our speed
10667,
10668,obiwan eight plus sixtyforty eight plus sixtytwenty eight plus sixty temp ten thousand nine thousand    were in the atmosphere   
10669,
10670,anakin points to one of the controls artoo beeps madly
10671,
10672,anakin grab that    keep us level
10673,
10674,obiwan steady steady
10675,
10676,anakin easy artoo hang on this may get a little rough we lost our heat shields
10677,
10678,obiwan five thousand three thousand    two thousand fireships on the left and the right
10679,
10680,flreship pilot well take you in
10681,
10682,obiwan copy that landing strips straight ahead
10683,
10684,anakin were coming in too hot
10685,
10686,obiwan easyeasy
10687,
10688,the ship leaves a contrail as it streaks across the coruscant skyline palpatine and obiwan hold on for dear life as the ship shakes and rattles toward an industrial landing platform
10689,
10690, ext coruscantindustrial landing platformafternoon
10691,
10692,a large landing platform in the industrial part of the city is surrounded by emergency fire speeders the smoking ship approaches as five fireships spray it with foam the ship finally makes a rather hard landing
10693,
10694,obiwan another happy landing
10695,
10696, ext coruscantsenate office buildinglanding platformlate afternoon
10697,
10698,the small jedi shuttle carrying palpatine and the jedi arrives at the landing platform there are a dozen senators including bail organa jar jar binks and cpo waiting for them palpatine rd and anakin get out obiwan and mace stay in the doorway of the jedi shuttle
10699,
10700,anakin to obiwan are you coming master
10701,
10702,obiwan oh no im not brave enough for politics i have to report to the council besides someone needs to be the poster boy
10703,
10704,anakin hold on this whole operation was your idea you planned it you led the rescue operation you have to be the one to take the bows this time
10705,
10706,obiwan sorry old friend let us not forget that you rescued me from the buzz droids and you killed count dooku and you rescued the chancellor carrying me unconscious on your back and you managed to land that bucket of bolts safely   
10707,
10708,anakin all because of your training master you deserve all those speeches of your greatness
10709,
10710,obiwan    the endless speeches    anakin lets be fair today you are the hero and you deserve your glorious day with the politicians
10711,
10712,anakin all right but you owe me    and not for saving your skin for the tenth time   
10713,
10714,obiwan ninth time    that business on cato nemoidia doesnt count ill see you at the briefing
10715,
10716,anakin smiles and walks away from obiwan
10717,the chancellor and his entourage approach mace
10718,
10719,mace wlndu chancellor palpatine what a welcome sight are you all right
10720,
10721,palpatine yes thanks to your two jedi knights they killed count dooku but general grievous has escaped once again
10722,
10723,mace wlndu general grievous will run and hide as he always does he is a coward
10724,
10725,palpatine that maybe true but with count dooku dead he is the leader of the droid army and i assure you the senate will vote to continue the war as long as grievous is alive
10726,
10727,mace wlndu then the jedi council will make finding grievous our highest priority
10728,
10729,bail anakin and the crowd walk away from the platform toward the senate building grand hallway
10730,
10731,bail organa skywalker the republic cannot praise you enough
10732,
10733,anakin and bail organa walking in the hallway
10734,
10735,anakin thank you senator organa the kidnapping was a bold move by the separatists but it was a mistake that obiwan and i were able to take advantage of
10736,
10737,artoo and threepio follow behind the crowd
10738,
10739,cpo it couldnt possibly be as bad as all that
10740,
10741,artoo beeps
10742,
10743,cpo continuing well there i agree with you in fact i could do with a tuneup myself
10744,
10745, int coruscantsenate office buildingmain hallwaylate afternoon
10746,
10747,anakin is at the back of the crowd of senators talking with bail organa rd and cpo scoot along ahead of them
10748,
10749,bail organa the end of count dooku will surely bring an end to this war and an end to the chancellors draconian security measures
10750,
10751,anakin i wish that were so but the fighting is going to continue until general grievous is spare parts    the chancellor is very clear about that
10752,
10753,behind a row of large columns a shadowy figure follows the jedi and the senator anakin senses the figure
10754,
10755,bail organa ill do everything i can with the senate
10756,
10757,anakin excuse me
10758,
10759,bail organa certainly
10760,
10761,anakin stops and bail goes off after palpatine and the others anakin goes behind one of the giant columns to meet up with the shadowy figure who is revealed to be senator padme amdala they embrace and kiss
10762,
10763,padme oh anakin thank goodness youre back
10764,
10765,anakin i missed you padme ive missed you so
10766,
10767,padme there were whispers    that youd been killed ive been living with unbearable dread
10768,
10769,anakin im back im all right it feels like weve been apart for a lifetime and it might have been  if the chancellor hadnt been kidnapped i dont think they would have ever brought us back from the outer rim sieges
10770,
10771,anakin starts to give her another kiss she steps back
10772,
10773,padme wait not here   
10774,
10775,he grabs her again
10776,
10777,anakin yes here im tired of all this deception i dont care if they know were married
10778,
10779,padme anakin dont say things like that youre important to the republic  to ending this war i love you more than anything but i wont let you give up your life as a jedi for me   
10780,
10781,anakin ive given my life to the jedi order but id only give up my life for you
10782,
10783,padme playfully i wouldnt like that i wouldnt like that one bit patience my handsome jedi    come to me later
10784,
10785,anakin embraces her then looks at her
10786,
10787,anakin are you all right youre trembling whats going on
10788,
10789,padme im just excited to see you
10790,
10791,anakin thats not it i sense more    what is it
10792,
10793,padme nothing    nothing   
10794,
10795,anakin youre frightened a little angry tell me whats going on
10796,
10797,padme begins to cry
10798,
10799,padme youve been gone five months    its been very hard for me ive never felt so alone theres   
10800,
10801,anakin    is there someone else
10802,
10803,padme peeved angry no why do you think that your jealousy upsets me so much anakin i do nothing to betray you yet you still dont trust me nothing has changed
10804,
10805,anakin sheepish im afraid of losing you padme    thats all
10806,
10807,padme i will never stop loving you anakin my only fear is losing you
10808,
10809,anakin its just that ive never seen you like this   
10810,
10811,padme something wonderful has happened
10812,
10813,they look at each other for a long moment
10814,
10815,padme continuing im    annie im pregnant
10816,
10817,anakin is stunned he thinks through all of the ramifications of this he takes her in his arms
10818,
10819,anakin thats    thats wonderful
10820,
10821,padme what are we going to do
10822,
10823,anakin were not going to worry about anything right now all right this is a happy moment the happiest moment of my life
10824,
10825, ext utapaulanding platformday
10826,
10827,a small neimoidian shuttle lands battle droids surround the ramp as general grievous descends onto the platform super battle droid g approaches
10828,
10829,super battle droid g the planet is secure sir the population is under control
10830,
10831,general grievous good where is the separatist council
10832,
10833,super battle droid g this way sir 
10834,
10835,general grievous takes the elevator to an upper level he enters a conference room and presses a series of buttons on the table and bows
10836,
10837, int utapauconference roomgrand chamberday
10838,
10839,a hologram of darth sidious appears
10840,
10841,general grievous yes lord sidious
10842,
10843,darth sldious general grievous i suggest you move the separatist leaders to mustafar
10844,
10845,general grievous it will be done my lord
10846,
10847,darth sldious the end of the war is near general and i promise you victory is assured
10848,
10849,the hologram of sidious talks to grievous about the death of count dooku
10850,
10851,general grievous but the loss of count dooku
10852,
10853,darth sldious his death was a necessary loss which will ensure our victory soon i will have a new apprentice    one far younger and more powerful than lord tyranus
10854,
10855, int coruscantpadmes apartmenttwilight
10856,
10857,padme stands in the balcony brushing her hair anakin leans against the wall watching her lovingly
10858,
10859,anakin    every second i was thinking of you protecting the endless nameless outer rim settlements became a torture    the battles were easy the longing became unbearable    ive never been so happy as i am at this moment
10860,
10861,padme annie i want to have our baby back home on naboo we could go to the lake country where no one would know    where we would be safe i could go earlyand fix up the babys room i know the perfect spot right by the gardens
10862,
10863,anakin you are so beautiful
10864,
10865,padme its only because im so in love   
10866,
10867,anakin no its because im so in love with you
10868,
10869,padme so love has blinded you
10870,
10871,anakin well thats not exactly what i meant   
10872,
10873,padme but its probably true
10874,
10875,they laugh
10876,
10877,anakin i havent laughed in so long   
10878,
10879,padme neither have i
10880,
10881, int polis massamedical centerdream
10882,
10883,the view is strangely distorted and disorienting padme is on a table in an alien medical chamber she is giving birth and is screaming
10884,
10885,padme anakin help me help anakin anakin i love you i love you
10886,
10887,she screams and dies
10888,
10889, int coruscantpadmes apartmentbedroomnight
10890,
10891,anakin awakens in a panic he is covered in sweat he looks over in the bed and sees padme sound asleep next to him anakin gets out from under the sheets and sits on the side of the bed he is breathing heavily he puts his head in his hands and weeps he regains his composure and leaves the room down a set of stairs padme awakens realizes anakin is gone
10892,
10893,padme anakin
10894,
10895,she gets out of bed and goes downstairs to look for him
10896,
10897, ext coruscantpadmes apartmentverandanight
10898,
10899,anakin walks down a flight of stairs onto a large veranda the vast city planet of coruscant smoldering from the battle is spread out before him he is distraught
10900,padme descends the stairs and joins anakin on the veranda she takes his hand he doesnt look at her
10901,
10902,padme whats bothering you
10903,
10904,anakin nothing   
10905,
10906,anakin touches the japor snippet around padmes neck that anakin gave her when he was a small boy
10907,
10908,anakin continuing i remember when i gave this to you
10909,
10910,padme anakin how long is it going to take for us to be honest with each other
10911,
10912,anakin it was a dream
10913,
10914,padme bad
10915,
10916,anakin like the ones i used to have about my mother just before she died
10917,
10918,padme and
10919,
10920,anakin it was about you
10921,
10922,they look at each other a moment of concern passes between them
10923,
10924,padme tell me
10925,
10926,anakin it was only a dream
10927,
10928,padme gives him a long worried look anakin takes a deep breath
10929,
10930,anakin continuing you die in childbirth   
10931,
10932,padme and the baby
10933,
10934,anakin i dont know
10935,
10936,padme it was only a dream
10937,
10938,anakin takes padme in his arms
10939,
10940,anakin    i wont let this one become real padme
10941,
10942,they embrace then part
10943,
10944,padme anakin this baby will change our lives i doubt the queen will continue to allow me to serve in the senate and if the council discovers you are the father you will be expelled from the jedi order
10945,
10946,anakin i know �
10947,
10948,padme anakin do you think obiwan might be able to help us
10949,
10950,anakin suspicious have you told him anything
10951,
10952,padme no but hes your mentor your best friend    he must suspect something
10953,
10954,anakin hes been a father to me but hes still on the council dont tell him anything
10955,
10956,padme i wont anakin
10957,
10958,anakin i dont need his help    our baby is a blessing not a problem
10959,
10960, int coruscantjedi templeyodas quartersday
10961,
10962,yoda and anakin sit in yoda s room deep in thought
10963,
10964,yoda premonitions    premonitions    hmmmm    these visions you have   
10965,
10966,anakin they are of pain suffering death   
10967,
10968,yoda yourself you speak of or someone you know
10969,
10970,anakin someone   
10971,
10972,yoda    close to you
10973,
10974,anakin yes
10975,
10976,yoda careful you must be when sensing the future anakin the fear of loss is a path to the dark side
10977,
10978,anakin i wont let these visions come true master yoda
10979,
10980,yoda death is a natural part of life rejoice for those around you who transform into the force mourn them do not miss them do not attachment leads to jealousy the shadow of greed that is
10981,
10982,anakin what must i do master yoda
10983,
10984,yoda train yourself to let go of everything you fear to lose
10985,
10986, int coruscantjedi templehallwayday
10987,
10988,anakin hurries down a temple hallway heading toward a jedi briefing room several jedi are exiting
10989,
10990, int coruscantjedi templebriefing roomday
10991,
10992,anakin rushes into the briefing room by the time he reaches the chamber the last of the jedi are leaving only obiwan remains at the front of the lecture hall he is shutting off some holograms and electronic charts and maps
10993,
10994,obiwan you missed the report on the outer rim sieges
10995,
10996,anakin im sorry i was held up i have no excuse
10997,
10998,obiwan in short they are going very well saleucami has fallen and master vos has moved his troops to boz pity
10999,
11000,anakin whats wrong then
11001,
11002,obiwan the senate is expected to vote more executive powers to the chancellor today
11003,
11004,anakin well that can only mean less deliberating and more action is that bad it will make it easier for us to end this war
11005,
